Primary_Genre,All_Tags,Price_USD,Review_Score_Pct,Total_Reviews,Estimated_Owners
RPG,Open World;Post-apocalyptic;Singleplayer;Exploration;RPG;Adventure;Atmospheric;Shooter;First-Person;Story Rich,19.99,84,284625,8538750
Action,Third-Person Shooter;Action Roguelike;Multiplayer;Co-op;Roguelite;Roguelike;Action;Looter Shooter;Loot;Online Co-Op,24.99,92,233118,6993540
Action,,0,0,65259,1957770
Action,FPS;PvE;Looter Shooter;Open World;Co-op;Action RPG;Loot;First-Person;Action-Adventure;RPG,69.99,46,52811,1584330
Action,Open World Survival Craft;Sandbox;Survival;2D;Multiplayer;Pixel Graphics;Adventure;Crafting;Building;Exploration,9.99,96,1201073,36032190
Simulation,City Builder;Simulation;Building;Sandbox;Management;Singleplayer;Economy;Strategy;Realistic;Moddable,49.99,68,59179,1775370
RPG,JRPG;Turn-Based Combat;Story Rich;RPG;Great Soundtrack;Fantasy;Singleplayer;Classic;Adventure;Turn-Based,11.99,77,18627,558810
RPG,RPG;Turn-Based;JRPG;2.5D;Party-Based RPG;Pixel Graphics;Story Rich;Open World;Turn-Based Combat;Choices Matter,23.99,88,12575,377250
Action,Adventure;Casual;Platformer;3D Platformer;Collectathon;Exploration;2.5D;3D Vision;Abstract;Colorful,10.79,99,463,13890
Casual,Simulation;Management;Economy;Multiplayer;Singleplayer;Trading;First-Person;Immersive Sim;Life Sim;Building,19.99,70,75143,2254290
Casual,Tabletop;Board Game;Simulation;Multiplayer;Sandbox;Card Game;VR;Trading Card Game;Moddable;Physics,19.99,95,47177,1415310
Action,Fast-Paced;FPS;Boomer Shooter;Blood;Character Action Game;Arena Shooter;Spectacle fighter;Great Soundtrack;Singleplayer;Retro,24.99,95,189515,5685450
Action,Survival;Multiplayer;Action;Adventure;Base Building;Co-op;Open World;Exploration;Crafting;Early Access,29.99,83,17139,514170
Adventure,Hunting;Open World;Multiplayer;Nature;Relaxing;Stealth;FPS;Simulation;Survival;Realistic,19.99,90,162885,4886550
Action,Base Building;Action Roguelike;Cute;Singleplayer;Dungeon Crawler;Roguelite;Character Customization;Colony Sim;Dark Humor;Building,24.99,97,104304,3129120
Action,Action;Open World;Superhero;Singleplayer;Adventure;Action-Adventure;Story Rich;Third Person;Comic Book;Stealth,59.99,87,24613,738390
Action,Military;Action;Multiplayer;Shooter;Simulation;Realistic;First-Person;Open World;Tactical;FPS,11.99,88,227355,6820650
Action,Horror;Survival Horror;First-Person;Singleplayer;VR;Gore;Atmospheric;Zombies;Psychological Horror;Action,19.99,94,78464,2353920
Action,Co-op;Split Screen;Local Co-Op;Female Protagonist;Action-Adventure;Online Co-Op;Fantasy;Sci-fi;3D Platformer;Story Rich,49.99,95,71563,2146890
Action,Co-op;Action;Zombies;Co-op Campaign;Online Co-Op;Horror;Third-Person Shooter;Multiplayer;Adventure;Third Person,19.99,84,40875,1226250
Action,Relaxing;Life Sim;Character Customization;Exploration;Adventure;Simulation;Sandbox;Fantasy;Casual;Singleplayer,39.99,91,21074,632220
Action,Free to Play;Action;Multiplayer;FPS;Singleplayer;Military;Shooter;War;Modern;Battle Royale,0,26,9160,274800
Casual,Casual;Relaxing;Simulation;Multiplayer;First-Person;3D;Sandbox;Co-op;Funny;Online Co-Op,12.49,93,49637,1489110
Adventure,Simulation;Automobile Sim;Multiplayer;Adventure;Driving;Exploration;Realistic;Open World;Sandbox;First-Person,11.99,89,42660,1279800
Action,Early Access;Simulation;Casual;Action;Co-op;Character Customization;Life Sim;First-Person;Open World;Base Building,9.59,87,175,5250
Action,Early Access;Survival;Open World;Zombies;Base Building;Co-op;Post-apocalyptic;Multiplayer;Exploration;RPG,19.99,86,8486,254580
Adventure,MMORPG;Adventure;RPG;Free to Play;Character Customization;Fantasy;Massively Multiplayer;Third Person;PvP;3D,0,81,457,13710
Action,Extraction Shooter;Psychological Horror;Shooter;Tactical;Gun Customization;Looter Shooter;FPS;Military;First-Person;Multiplayer,49.99,49,42207,1266210
Action,Action Roguelike;Roguelike;Indie;Replay Value;Difficult;Pixel Graphics;Dungeon Crawler;Great Soundtrack;Singleplayer;Dark,14.99,95,348944,10468320
Adventure,RPG;Dungeons & Dragons;Co-op Campaign;Character Customization;Turn-Based Combat;Multiplayer;CRPG;Choices Matter;Story Rich;Fantasy,7.49,84,18982,569460
RPG,RPG;JRPG;Pixel Graphics;Turn-Based;Story Rich;Turn-Based Combat;Singleplayer;Great Soundtrack;Open World;Strategy,23.99,86,13127,393810
Action,Base Building;Open World Survival Craft;Dwarf;Survival;Exploration;Online Co-Op;Crafting;Building;Adventure;Multiplayer,13.49,72,9506,285180
Action,Free to Play;Naval Combat;Action;Co-op;Tactical;Online Co-Op;Multiplayer;Naval;World War II;PvP,0,72,2012,60360
Indie,Early Access;Sandbox;Automobile Sim;Driving;Building;Simulation;3D;Casual;Racing;Realistic,19.99,83,2029,60870
Casual,Idler;Free to Play;MMORPG;Pixel Graphics;Multiplayer;RPG;Management;Clicker;Crafting;Resource Management,0,53,0,0
Action,Survival;Online Co-Op;Open World Survival Craft;Crafting;Base Building;Sci-fi;Exploration;Co-op Campaign;Multiplayer;Early Access,34.99,91,37489,1124670
Adventure,VR;Free to Play;Multiplayer;Anime;Memes;Funny;Massively Multiplayer;First-Person;Open World;Early Access,0,72,148,4440
Action,Difficult;Music;Level Editor;Great Soundtrack;2D;Precision Platformer;Rhythm;Singleplayer;Platformer;Colorful,4.99,93,515269,15458070
Action,Action;Racing;Simulation;Funny;Destruction;Sandbox;Puzzle;3D;Colorful;Stylized,13.99,90,542,16260
Action,Cozy;Open World;Adventure;Cute;Simulation;Life Sim;Exploration;Casual;Colorful;Relaxing,26.79,92,8347,250410
Action,Early Access;MMORPG;Naval Combat;Massively Multiplayer;Pirates;Open World;Naval;Action;Sailing;Sandbox,0,78,0,0
Action,Choices Matter;LGBTQ+;Female Protagonist;Story Rich;Choose Your Own Adventure;Romance;Third Person;Mystery;Emotional;Action,19.99,68,6932,207960
Adventure,Open World Survival Craft;Survival;Horror;Underwater;Open World;Exploration;Crafting;Base Building;Singleplayer;Adventure,29.99,98,308655,9259650
Action,Tanks;Free to Play;Action;Military;PvP;Vehicular Combat;Multiplayer;Team-Based;Tactical;Massively Multiplayer,0,61,524,15720
Indie,Zombies;Simulation;Singleplayer;Post-apocalyptic;Choices Matter;First-Person;Realistic;3D;Military;Atmospheric,19.99,84,9321,279630
